,O,sO,aO,C,sC,aC,F,sF,aF,FO,FC,OC,InOr
3,0.22795670025315934,0.22795670025315934,0.0,0.2636700490838822,0.2636700490838822,0.0,0.03933629741349507,0.0,0.03933629741349507,0.14716546171011943,0.1298200445905035,0.4636783913010406,0.04094700081577502
15,0.23253013757784077,0.23253013757784077,0.0,0.2689599942468961,0.2689599942468961,0.0,0.026750327698797555,0.0,0.026750327698797555,0.10317139654256789,0.09046125790533,0.4636783913010406,0.02748557586004389
23,0.22850317058584316,0.22850317058584316,0.0,0.27425559256999843,0.27425559256999843,0.0,0.008194846965497066,0.0,0.008194846965497066,0.03462152767595356,0.029013397815821854,0.45449863300545473,0.008262557358594389
24,0.2253371818935267,0.2253371818935267,0.0,0.2704556886008105,0.2704556886008105,0.0,0.019957308701564567,0.0,0.019957308701564567,0.08136060721603483,0.06872043912272019,0.45449863300545473,0.02036371362060116
25,0.22222178652341426,0.22222178652341426,0.0,0.26671650808471775,0.26671650808471775,0.0,0.0315318032418016,0.0,0.0315318032418016,0.12426150609721906,0.10572332531090474,0.45449863300545473,0.03255842922601853
26,0.22017463809273802,0.22017463809273802,0.0,0.2642594660030065,0.2642594660030065,0.0,0.03913748583388378,0.0,0.03913748583388378,0.1509280986991515,0.12899762372999896,0.45449863300545473,0.04073161899530363
27,0.21818218095164305,0.21818218095164305,0.0,0.26186806586400474,0.26186806586400474,0.0,0.0465399762280412,0.0,0.0465399762280412,0.17580687889473293,0.15090389962707623,0.45449863300545473,0.04881167019874162
28,0.21432023773017028,0.21432023773017028,0.0,0.2572328587289737,0.2572328587289737,0.0,0.06088808791892723,0.0,0.06088808791892723,0.221243626170533,0.19139917871022402,0.45449863300545473,0.06483581683465092
29,0.21059263362261388,0.21059263362261388,0.0,0.25275888897720533,0.25275888897720533,0.0,0.0747370952728541,0.0,0.0747370952728541,0.26193238104619104,0.2282076693062246,0.45449863300545473,0.08077390208882694
30,0.2087532520447255,0.2087532520447255,0.0,0.25055121420703574,0.25055121420703574,0.0,0.08157087060516886,0.0,0.08157087060516886,0.280964839781971,0.2456050781786835,0.45449863300545473,0.08881563965519836
90,0.25312375132177384,0.25312375132177384,0.0,0.2908077526531707,0.25312375132177384,0.03768400133139687,0.018842000665698435,0.0,0.018842000665698435,0.06928078453998268,0.06084939666105737,0.4653596077300087,0.019203839420850057
103,0.24844259576694522,0.24844259576694522,0.0,0.29159420140475467,0.24844259576694522,0.043151605637809454,0.03082257545557818,0.0,0.03082257545557818,0.11037028112259015,0.09559854718394557,0.46004753207206933,0.03180282028346549
116,0.26303600030756963,0.26303600030756963,0.0,0.26303600030756963,0.26303600030756963,0.0,0.0391596953428333,0.0,0.0391596953428333,0.12958389515956392,0.12958389515956392,0.5,0.04075567516581821
365,0.15744017587317527,0.15744017587317527,0.0,0.2663058317354334,0.2663058317354334,0.0,0.007638453074642439,0.0,0.007638453074642439,0.04627160476997297,0.027883235746050117,0.37154373857510015,0.007697248143389599
371,0.1566113628400063,0.1566113628400063,0.0,0.26490391673548425,0.26490391673548425,0.0,0.012862546474855657,0.0,0.012862546474855657,0.07589691255046585,0.04630705350888756,0.37154373857510015,0.013030147350728622
377,0.1560193242814628,0.1560193242814628,0.0,0.2639024994042475,0.2639024994042475,0.0,0.016594226121027674,0.0,0.016594226121027674,0.09613513007718223,0.059160142030008814,0.37154373857510015,0.016874241093351484
383,0.15564771747803094,0.15564771747803094,0.0,0.26327393647031,0.26327393647031,0.0,0.018936501847387946,0.0,0.018936501847387946,0.10846628590234131,0.06710064291126684,0.37154373857510015,0.019302014480251536
389,0.15378584793401653,0.15378584793401653,0.0,0.26012463410989445,0.26012463410989445,0.0,0.03067205619763025,0.0,0.03067205619763025,0.16628214628167812,0.10547594666635919,0.37154373857510015,0.031642599796837985
395,0.15250299223334407,0.15250299223334407,0.0,0.2579547181245406,0.2579547181245406,0.0,0.03875802701505881,0.0,0.03875802701505881,0.2026446746303348,0.13062474615582714,0.37154373857510015,0.040320780931677014
398,0.14937208336214905,0.14937208336214905,0.0,0.252658869803696,0.252658869803696,0.0,0.058492466166119285,0.0,0.058492466166119285,0.2813970265678451,0.187987192739528,0.37154373857510015,0.06212639205119699
404,0.15802512612979894,0.15802512612979894,0.0,0.26729525939422555,0.26729525939422555,0.0,0.0039514517211566205,0.0,0.0039514517211566205,0.024395204378207015,0.014567740581657275,0.37154373857510015,0.003967127634475918
687,0.20856460051046452,0.20856460051046452,0.0,0.2780861340139527,0.2780861340139527,0.0,0.08247434096113186,0.0,0.08247434096113186,0.28337905760690396,0.22873927311869388,0.4285714285714286,0.08988777605143584
688,0.21029280752289917,0.21029280752289917,0.0,0.2803904100305322,0.2803904100305322,0.0,0.07605528634351741,0.0,0.07605528634351741,0.26560430459508394,0.21337131326648404,0.4285714285714286,0.08231584121795661
689,0.21218207830601965,0.21218207830601965,0.0,0.28290943774135957,0.28290943774135957,0.0,0.06903799486335574,0.0,0.06903799486335574,0.24549454839866647,0.19615996159544308,0.4285714285714286,0.07415769331340491
690,0.21425403092088224,0.21425403092088224,0.0,0.285672041227843,0.285672041227843,0.0,0.06134217086529446,0.0,0.06134217086529446,0.22257988487405655,0.17677135035849895,0.4285714285714286,0.06535093935331289
691,0.21644214645921608,0.21644214645921608,0.0,0.28858952861228815,0.28858952861228815,0.0,0.05321488458005453,0.0,0.05321488458005453,0.19734284092264132,0.1556881143898779,0.4285714285714286,0.05620587365956965
692,0.2184213190704038,0.2184213190704038,0.0,0.29122842542720506,0.29122842542720506,0.0,0.04586367202421434,0.0,0.04586367202421434,0.17353869334106237,0.13605679982107577,0.4285714285714286,0.04806825888446654
693,0.22007397266006642,0.22007397266006642,0.0,0.29343196354675527,0.29343196354675527,0.0,0.03972524440546755,0.0,0.03972524440546755,0.15290748314859975,0.11923873611992943,0.4285714285714286,0.041368623067543374
694,0.22154508086428762,0.22154508086428762,0.0,0.29539344115238353,0.29539344115238353,0.0,0.03426112821836042,0.0,0.03426112821836042,0.1339339195136231,0.10393039078378088,0.4285714285714286,0.0354765964376622
695,0.22280910390002198,0.22280910390002198,0.0,0.29707880520002933,0.29707880520002933,0.0,0.02956618551420421,0.0,0.02956618551420421,0.1171516656120676,0.09051473726737871,0.4285714285714286,0.030466977832867927
696,0.22393821383325763,0.22393821383325763,0.0,0.2985842851110102,0.2985842851110102,0.0,0.025372348619328796,0.0,0.025372348619328796,0.10177005085435992,0.07832020084653893,0.4285714285714286,0.02603286350780831
697,0.22493611648998102,0.22493611648998102,0.0,0.2999148219866414,0.2999148219866414,0.0,0.021665853037213287,0.0,0.021665853037213287,0.08785758312779436,0.06737299446120674,0.4285714285714286,0.02214565760019148
698,0.22584571096243528,0.22584571096243528,0.0,0.3011276146165804,0.3011276146165804,0.0,0.018287359282383252,0.0,0.018287359282383252,0.07490734157418552,0.057252667460004084,0.4285714285714286,0.01862801651307604
699,0.22665964423267002,0.22665964423267002,0.0,0.3022128589768934,0.3022128589768934,0.0,0.01526417856436856,0.0,0.01526417856436856,0.06309497918761976,0.04807963020753809,0.4285714285714286,0.015500785319371388
700,0.22784573712709277,0.22784573712709277,0.0,0.30379431616945707,0.30379431616945707,0.0,0.010858690670798239,0.0,0.010858690670798239,0.04549010996977483,0.034510048957870076,0.4285714285714286,0.010977896250397419
897,0.20287546960143993,0.20287546960143993,0.0,0.2753947796055508,0.2753947796055508,0.0,0.08263045517909084,0.0,0.08263045517909084,0.28941765479160936,0.23079505898179076,0.42418584458854225,0.09007324872030947
898,0.20450014560913612,0.20450014560913612,0.0,0.2776002078515034,0.2776002078515034,0.0,0.07642797185468608,0.0,0.07642797185468608,0.2720552593477171,0.21588104065081543,0.42418584458854225,0.08275258401682666
899,0.2063948029474083,0.2063948029474083,0.0,0.2801721242154018,0.2801721242154018,0.0,0.0691947878288089,0.0,0.0691947878288089,0.2510791051066805,0.19805764496682687,0.42418584458854225,0.07433863382372509
900,0.2083195684057322,0.2083195684057322,0.0,0.28278491106552633,0.28278491106552633,0.0,0.061846660816351554,0.0,0.061846660816351554,0.22892076850031454,0.17945732736741088,0.42418584458854225,0.06592382954173416
901,0.21046710270943342,0.21046710270943342,0.0,0.28570009710268024,0.28570009710268024,0.0,0.05364807497880879,0.0,0.05364807497880879,0.20312378655547852,0.1580915395823204,0.42418584458854225,0.056689349448523045
902,0.21253915768645987,0.21253915768645987,0.0,0.28851282317966637,0.28851282317966637,0.0,0.04573764460292094,0.0,0.04573764460292094,0.17708769892417656,0.1368364415653441,0.42418584458854225,0.04792984271488841
