,k
3,0.13227699
15,0.082791608
23,4.534450652
24,7.802607076
25,9.348230912
26,9.506517691
27,9.217877095
28,7.774674115
29,5.931098696
30,5.158286778
90,8.338558189
103,7.863851661
116,13.31856972
365,0.735576864
371,1.064032248
377,1.247639406
383,1.342906004
389,1.66333598
395,1.739168143
398,1.606730593
404,0.411873206
687,1.647
688,2.167
689,2.824
690,3.681
691,4.717
692,5.648
693,6.339
694,6.799
695,6.995
696,6.979
697,6.786
698,6.452
699,5.981
700,4.972
897,1.953
898,2.523
899,3.197
900,4.123
901,5.19
902,6.209
903,6.896
904,7.332
905,7.477
906,7.404
907,7.138
908,6.735
909,6.217
910,5.539
1107,2.166
1108,2.859
1109,3.536
1110,4.463
1111,5.643
1112,6.692
1113,7.441
1114,7.843
1115,7.94
1116,7.8
1117,7.472
1118,7.009
1119,6.403
1120,5.531
1317,2.654
1318,3.283
1319,4.058
1320,4.972
1321,6.059
1322,6.998
1323,7.673
1324,8.086
1325,8.103
1326,7.844
1327,7.516
1328,7.281
1329,6.711
1330,5.78
1527,2.93
1528,3.608
1529,4.329
1530,5.212
1531,6.216
1532,7.087
1533,7.772
1534,8.128
1535,8.2
1536,8.07
1537,7.777
1538,7.459
1539,6.876
1540,6.0
1737,3.329
1738,4.056
1739,4.738
1740,5.627
1741,6.561
1742,7.339
1743,7.897
1744,8.101
1745,8.052
1746,7.824
1747,7.45
1748,6.957
1749,6.36
1750,5.19
1947,3.517
1948,4.191
1949,4.913
1950,5.778
1951,6.644
1952,7.298
1953,7.662
1954,7.738
1955,7.593
1956,7.293
1957,6.877
1958,6.343
1959,5.681
1960,4.474
2157,3.789
2158,4.403
2159,5.027
2160,5.712
2161,6.402
2162,6.867
2163,7.077
2164,7.027
2165,6.805
2166,6.458
2167,6.036
2168,5.547
2169,4.963
2170,3.908
2332,1.692454027
2343,1.883322765
2354,2.025998732
2365,2.144366941
2376,2.226696259
2387,2.28492919
2398,2.318854365
2409,2.340519975
2420,2.325829634
2431,2.311139294
2442,2.283555274
2453,2.195941661
2464,2.144261256
2475,2.0322342
2486,1.894736842
2497,1.781969985
2508,2.311859286
2519,2.521096363
2530,2.657170605
2541,2.756663429
2552,2.831876551
2563,2.845904824
2574,2.872558541
2585,2.86273875
2596,2.828639258
2607,2.782561778
2617,2.688140714
2630,2.59393547
2641,2.48753642
2652,2.357181396
2663,2.179346067
2674,2.013164994
2685,2.971428571
2696,3.257142857
2707,3.457142857
2718,3.557142857
2727,3.628571429
